task_id,condition,target_concept,target_rank,target_reciprocal_rank,target_in_top_1,target_in_top_10,quarantined_records,synthetic
synthetic_lipid_resolution,frequency,neutrophil_resolution,2,0.5,False,True,0,True
synthetic_brca_parp,frequency,PARP_inhibitor_sensitivity,2,0.5,False,True,0,True
synthetic_lrrk2_lysosome,frequency,lysosomal_trafficking,2,0.5,False,True,0,True
synthetic_metformin_glucose,frequency,hepatic_gluconeogenesis,2,0.5,False,True,0,True
synthetic_tox_chromatin,frequency,chromatin_accessibility,2,0.5,False,True,0,True
synthetic_lipid_resolution,tfidf,neutrophil_resolution,1,1.0,True,True,0,True
synthetic_brca_parp,tfidf,PARP_inhibitor_sensitivity,1,1.0,True,True,0,True
synthetic_lrrk2_lysosome,tfidf,lysosomal_trafficking,1,1.0,True,True,0,True
synthetic_metformin_glucose,tfidf,hepatic_gluconeogenesis,1,1.0,True,True,0,True
synthetic_tox_chromatin,tfidf,chromatin_accessibility,1,1.0,True,True,0,True
synthetic_lipid_resolution,abc_bridge,neutrophil_resolution,1,1.0,True,True,0,True
synthetic_brca_parp,abc_bridge,PARP_inhibitor_sensitivity,1,1.0,True,True,0,True
synthetic_lrrk2_lysosome,abc_bridge,lysosomal_trafficking,1,1.0,True,True,0,True
synthetic_metformin_glucose,abc_bridge,hepatic_gluconeogenesis,1,1.0,True,True,0,True
synthetic_tox_chromatin,abc_bridge,chromatin_accessibility,1,1.0,True,True,0,True
synthetic_lipid_resolution,evidence_aware,neutrophil_resolution,1,1.0,True,True,0,True
synthetic_brca_parp,evidence_aware,PARP_inhibitor_sensitivity,1,1.0,True,True,0,True
synthetic_lrrk2_lysosome,evidence_aware,lysosomal_trafficking,1,1.0,True,True,0,True
synthetic_metformin_glucose,evidence_aware,hepatic_gluconeogenesis,1,1.0,True,True,0,True
synthetic_tox_chromatin,evidence_aware,chromatin_accessibility,1,1.0,True,True,0,True
